Difficulty,Title,Frequency,Link,Topics
EASY,Symmetric Tree,37.3,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Sudoku Solver,37.3,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
HARD,Text Justification,33.9,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Add Binary,33.9,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
MEDIUM,Decode Ways,33.9,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
HARD,Longest Valid Parentheses,33.9,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
EASY,Same Tree,33.9,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Balanced Binary Tree,33.9,https://leetcode.com/problems/balanced-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Word Search,33.9,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Search a 2D Matrix,33.9,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
EASY,Remove Duplicates from Sorted List,29.7,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List
MEDIUM,Validate Binary Search Tree,29.7,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Maximum Depth of Binary Tree,29.7,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Search in Rotated Sorted Array II,29.7,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Combinations,29.7,https://leetcode.com/problems/combinations,Backtracking
MEDIUM,Edit Distance,29.7,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Unique Paths II,29.7,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Rotate List,29.7,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
HARD,Permutation Sequence,29.7,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
MEDIUM,Spiral Matrix II,29.7,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
HARD,Substring with Concatenation of All Words,29.7,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Remove Duplicates from Sorted List II,24.4,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
MEDIUM,Count and Say,24.4,https://leetcode.com/problems/count-and-say,String
MEDIUM,Restore IP Addresses,24.4,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
HARD,N-Queens,24.4,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,Permutations II,24.4,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Simplify Path,24.4,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Convert Sorted Array to Binary Search Tree,17.4,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Construct Binary Tree from Inorder and Postorder Traversal,17.4,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
MEDIUM,Combination Sum,17.4,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Binary Tree Level Order Traversal,17.4,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Unique Binary Search Trees,17.4,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Subsets II,17.4,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
HARD,Maximal Rectangle,17.4,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Multiply Strings,17.4,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
EASY,Minimum Depth of Binary Tree,17.4,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
