Difficulty,Title,Frequency,Link,Topics
MEDIUM,Minimum Number of Vertices to Reach All Nodes,47.5,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
MEDIUM,Time Based Key-Value Store,47.5,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Flatten Nested List Iterator,47.5,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Shortest Path in Binary Matrix,47.5,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
EASY,Contains Duplicate,47.5,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Valid Parentheses,47.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Happy Number,47.5,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
MEDIUM,House Robber,47.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Coin Change,47.5,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,IP to CIDR,47.5,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Merge Intervals,47.5,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Shortest Uncommon Substring in an Array,47.5,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Mini Parser,47.5,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
HARD,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,47.5,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
EASY,Single Number,47.5,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
HARD,Regular Expression Matching,47.5,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Maximum Candies You Can Get from Boxes,47.5,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph"
HARD,Merge k Sorted Lists,47.5,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Minimize Rounding Error to Meet Target,47.5,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
EASY,Add Strings,47.5,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Strings Differ by One Character,47.5,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
MEDIUM,Convert to Base -2,47.5,https://leetcode.com/problems/convert-to-base-2,Math
EASY,Reverse Bits,47.5,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
HARD,Making A Large Island,47.5,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
