Difficulty,Title,Frequency,Link,Topics
MEDIUM,Find the Number of Good Pairs II,100.0,https://leetcode.com/problems/find-the-number-of-good-pairs-ii,"Array, Hash Table"
EASY,Find the Number of Good Pairs I,100.0,https://leetcode.com/problems/find-the-number-of-good-pairs-i,"Array, Hash Table"
MEDIUM,Minimum Array Changes to Make Differences Equal,100.0,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal,"Array, Hash Table, Prefix Sum"
EASY,Longest Common Prefix,65.7,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
EASY,Two Sum,65.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
