Difficulty,Title,Frequency,Link,Topics
EASY,Maximum Number of Pairs in Array,100.0,https://leetcode.com/problems/maximum-number-of-pairs-in-array,"Array, Hash Table, Counting"
EASY,Two Sum,80.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,74.3,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Design a Food Rating System,65.6,https://leetcode.com/problems/design-a-food-rating-system,"Array, Hash Table, String, Design, Heap (Priority Queue), Ordered Set"
