Difficulty,Title,Frequency,Link,Topics
EASY,Two Sum,100.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,100.0,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Maximum Number of Pairs in Array,89.0,https://leetcode.com/problems/maximum-number-of-pairs-in-array,"Array, Hash Table, Counting"
MEDIUM,Design a Food Rating System,89.0,https://leetcode.com/problems/design-a-food-rating-system,"Array, Hash Table, String, Design, Heap (Priority Queue), Ordered Set"
